date,etl_timestamp,Yes,NO_UNKNOWN
2020-03-26,2020-08-24 17:20:02,67,128
2020-07-09,2020-08-24 17:20:02,12,101
2020-06-17,2020-08-24 17:20:02,19,126
2020-04-03,2020-08-24 17:20:02,131,381
2020-06-28,2020-08-24 17:20:02,16,79
2020-04-13,2020-08-24 17:20:02,109,145
2020-06-08,2020-08-24 17:20:02,21,89
2020-04-30,2020-08-24 17:20:02,98,337
2020-04-25,2020-08-24 17:20:02,102,227
2020-06-29,2020-08-24 17:20:02,14,114
2020-03-28,2020-08-24 17:20:02,40,106
2020-04-23,2020-08-24 17:20:02,151,422
2020-03-31,2020-08-24 17:20:02,87,276
2020-03-17,2020-08-24 17:20:02,NA,13
2020-08-05,2020-08-24 17:20:02,9,125
2020-04-26,2020-08-24 17:20:02,93,114
2020-03-22,2020-08-24 17:20:02,13,38
2020-03-29,2020-08-24 17:20:02,53,162
2020-06-21,2020-08-24 17:20:02,13,53
2020-03-25,2020-08-24 17:20:02,40,129
2020-06-05,2020-08-24 17:20:02,21,98
2020-06-10,2020-08-24 17:20:02,21,93
2020-08-16,2020-08-24 17:20:02,NA,89
2020-05-21,2020-08-24 17:20:02,37,282
2020-04-19,2020-08-24 17:20:02,92,170
2020-07-03,2020-08-24 17:20:02,12,117
2020-03-18,2020-08-24 17:20:02,NA,7
2020-05-27,2020-08-24 17:20:02,44,144
2020-05-13,2020-08-24 17:20:02,55,190
2020-07-27,2020-08-24 17:20:02,28,136
2020-04-09,2020-08-24 17:20:02,143,440
2020-05-08,2020-08-24 17:20:02,64,292
2020-08-01,2020-08-24 17:20:02,14,52
2020-07-06,2020-08-24 17:20:02,19,96
2020-04-12,2020-08-24 17:20:02,117,301
2020-05-19,2020-08-24 17:20:02,47,211
2020-07-16,2020-08-24 17:20:02,14,132
2020-07-30,2020-08-24 17:20:02,6,132
2020-06-27,2020-08-24 17:20:02,15,97
2020-08-17,2020-08-24 17:20:02,NA,83
2020-07-25,2020-08-24 17:20:02,8,133
2020-08-08,2020-08-24 17:20:02,6,83
2020-07-22,2020-08-24 17:20:02,10,194
2020-06-30,2020-08-24 17:20:02,13,116
2020-08-11,2020-08-24 17:20:02,8,157
2020-06-03,2020-08-24 17:20:02,33,114
2020-08-14,2020-08-24 17:20:02,NA,123
2020-05-07,2020-08-24 17:20:02,59,253
2020-05-23,2020-08-24 17:20:02,33,163
2020-07-12,2020-08-24 17:20:02,16,72
2020-07-29,2020-08-24 17:20:02,19,134
2020-03-24,2020-08-24 17:20:02,38,79
2020-05-18,2020-08-24 17:20:02,29,153
2020-06-14,2020-08-24 17:20:02,15,45
2020-07-23,2020-08-24 17:20:02,14,206
2020-05-12,2020-08-24 17:20:02,49,199
2020-07-14,2020-08-24 17:20:02,16,128
2020-05-09,2020-08-24 17:20:02,40,186
2020-04-28,2020-08-24 17:20:02,99,374
2020-08-02,2020-08-24 17:20:02,11,74
2020-04-15,2020-08-24 17:20:02,161,446
2020-06-01,2020-08-24 17:20:02,27,76
2020-05-04,2020-08-24 17:20:02,82,291
2020-06-16,2020-08-24 17:20:02,13,75
2020-06-19,2020-08-24 17:20:02,13,108
2020-07-10,2020-08-24 17:20:02,16,95
2020-07-13,2020-08-24 17:20:02,21,117
2020-07-20,2020-08-24 17:20:02,16,109
2020-05-28,2020-08-24 17:20:02,33,176
2020-08-13,2020-08-24 17:20:02,NA,97
2020-04-14,2020-08-24 17:20:02,121,260
2020-05-24,2020-08-24 17:20:02,26,151
2020-06-24,2020-08-24 17:20:02,16,114
2020-03-14,2020-08-24 17:20:02,NA,5
2020-05-29,2020-08-24 17:20:02,27,179
2020-05-11,2020-08-24 17:20:02,58,188
2020-07-24,2020-08-24 17:20:02,19,193
2020-05-05,2020-08-24 17:20:02,88,281
2020-08-15,2020-08-24 17:20:02,NA,96
2020-07-05,2020-08-24 17:20:02,11,69
2020-04-18,2020-08-24 17:20:02,78,197
2020-05-22,2020-08-24 17:20:02,33,170
2020-05-16,2020-08-24 17:20:02,22,144
2020-06-20,2020-08-24 17:20:02,19,105
2020-04-07,2020-08-24 17:20:02,139,374
2020-03-27,2020-08-24 17:20:02,51,172
2020-07-17,2020-08-24 17:20:02,24,176
2020-05-15,2020-08-24 17:20:02,49,215
2020-07-01,2020-08-24 17:20:02,20,139
2020-08-06,2020-08-24 17:20:02,14,147
2020-07-08,2020-08-24 17:20:02,13,108
2020-06-15,2020-08-24 17:20:02,21,74
2020-05-03,2020-08-24 17:20:02,50,119
2020-03-23,2020-08-24 17:20:02,17,53
2020-06-25,2020-08-24 17:20:02,14,110
2020-04-24,2020-08-24 17:20:02,106,386
2020-04-02,2020-08-24 17:20:02,120,242
2020-04-20,2020-08-24 17:20:02,128,365
2020-06-18,2020-08-24 17:20:02,9,91
2020-04-27,2020-08-24 17:20:02,110,321
2020-05-25,2020-08-24 17:20:02,29,100
2020-07-15,2020-08-24 17:20:02,9,150
2020-04-10,2020-08-24 17:20:02,127,452
2020-07-26,2020-08-24 17:20:02,12,81
2020-06-11,2020-08-24 17:20:02,18,86
2020-03-20,2020-08-24 17:20:02,8,24
2020-03-19,2020-08-24 17:20:02,5,27
2020-04-11,2020-08-24 17:20:02,122,294
2020-05-10,2020-08-24 17:20:02,25,98
2020-04-16,2020-08-24 17:20:02,143,383
2020-06-06,2020-08-24 17:20:02,22,62
2020-07-31,2020-08-24 17:20:02,17,131
2020-06-26,2020-08-24 17:20:02,15,73
2020-07-07,2020-08-24 17:20:02,15,124
2020-07-04,2020-08-24 17:20:02,12,57
2020-06-09,2020-08-24 17:20:02,22,120
2020-05-17,2020-08-24 17:20:02,32,110
NA,2020-08-24 17:20:02,10,31
2020-04-06,2020-08-24 17:20:02,135,419
2020-06-12,2020-08-24 17:20:02,25,80
2020-04-17,2020-08-24 17:20:02,130,469
2020-04-08,2020-08-24 17:20:02,139,440
2020-06-23,2020-08-24 17:20:02,21,134
2020-05-06,2020-08-24 17:20:02,59,301
2020-08-07,2020-08-24 17:20:02,5,96
2020-04-21,2020-08-24 17:20:02,112,396
2020-07-21,2020-08-24 17:20:02,13,143
2020-03-30,2020-08-24 17:20:02,72,169
2020-08-22,2020-08-24 17:20:02,NA,67
2020-05-02,2020-08-24 17:20:02,72,235
2020-05-31,2020-08-24 17:20:02,31,81
2020-07-19,2020-08-24 17:20:02,8,97
2020-08-21,2020-08-24 17:20:02,NA,74
2020-08-03,2020-08-24 17:20:02,9,80
2020-06-07,2020-08-24 17:20:02,19,70
2020-05-14,2020-08-24 17:20:02,44,219
2020-07-18,2020-08-24 17:20:02,16,101
2020-08-10,2020-08-24 17:20:02,7,103
2020-08-09,2020-08-24 17:20:02,9,103
2020-08-04,2020-08-24 17:20:02,9,94
2020-08-20,2020-08-24 17:20:02,NA,102
2020-04-22,2020-08-24 17:20:02,112,420
2020-04-29,2020-08-24 17:20:02,102,422
2020-06-13,2020-08-24 17:20:02,18,81
2020-05-01,2020-08-24 17:20:02,104,315
2020-07-02,2020-08-24 17:20:02,16,103
2020-07-28,2020-08-24 17:20:02,NA,112
2020-04-01,2020-08-24 17:20:02,115,306
2020-06-02,2020-08-24 17:20:02,23,110
2020-05-26,2020-08-24 17:20:02,28,194
2020-05-30,2020-08-24 17:20:02,19,108
2020-08-19,2020-08-24 17:20:02,NA,111
2020-06-04,2020-08-24 17:20:02,22,63
2020-03-21,2020-08-24 17:20:02,10,43
2020-04-05,2020-08-24 17:20:02,98,313
2020-07-11,2020-08-24 17:20:02,16,83
2020-05-20,2020-08-24 17:20:02,22,172
2020-08-12,2020-08-24 17:20:02,NA,199
2020-06-22,2020-08-24 17:20:02,8,101
2020-04-04,2020-08-24 17:20:02,117,436
2020-08-18,2020-08-24 17:20:02,NA,118
