result_date,etl_timestamp,negative,positive
2020-05-03,2020-06-11 17:20:02,621,167
2020-03-16,2020-06-11 17:20:02,84,7
2020-04-08,2020-06-11 17:20:02,911,578
2020-06-05,2020-06-11 17:20:02,1444,118
2020-04-24,2020-06-11 17:20:02,1147,490
2020-03-22,2020-06-11 17:20:02,158,49
2020-06-04,2020-06-11 17:20:02,1332,95
2020-04-04,2020-06-11 17:20:02,815,553
2020-04-02,2020-06-11 17:20:02,703,364
2020-04-29,2020-06-11 17:20:02,1626,522
2020-04-13,2020-06-11 17:20:02,354,254
2020-03-17,2020-06-11 17:20:02,159,16
2020-04-20,2020-06-11 17:20:02,664,493
2020-05-19,2020-06-11 17:20:02,1492,259
2020-04-19,2020-06-11 17:20:02,457,262
2020-05-18,2020-06-11 17:20:02,888,183
2020-05-26,2020-06-11 17:20:02,1772,215
2020-04-11,2020-06-11 17:20:02,674,416
2020-05-04,2020-06-11 17:20:02,813,376
2020-05-10,2020-06-11 17:20:02,772,123
2020-03-31,2020-06-11 17:20:02,738,363
2020-03-12,2020-06-11 17:20:02,20,NA
2020-06-08,2020-06-11 17:20:02,1397,111
2020-04-25,2020-06-11 17:20:02,857,331
2020-05-21,2020-06-11 17:20:02,2128,317
2020-04-12,2020-06-11 17:20:02,704,417
2020-04-30,2020-06-11 17:20:02,1426,436
2020-04-07,2020-06-11 17:20:02,782,513
2020-05-14,2020-06-11 17:20:02,1771,263
2020-04-27,2020-06-11 17:20:02,839,430
2020-03-23,2020-06-11 17:20:02,307,74
2020-03-28,2020-06-11 17:20:02,470,145
2020-05-09,2020-06-11 17:20:02,1176,225
2020-06-01,2020-06-11 17:20:02,1235,104
2020-05-27,2020-06-11 17:20:02,1938,193
2020-04-01,2020-06-11 17:20:02,746,421
2020-04-22,2020-06-11 17:20:02,1022,531
2020-03-25,2020-06-11 17:20:02,659,172
2020-03-30,2020-06-11 17:20:02,455,241
2020-05-12,2020-06-11 17:20:02,1352,248
2020-03-14,2020-06-11 17:20:02,49,6
2020-04-16,2020-06-11 17:20:02,772,524
2020-05-25,2020-06-11 17:20:02,1300,125
2020-05-17,2020-06-11 17:20:02,1167,142
2020-04-05,2020-06-11 17:20:02,653,406
2020-06-02,2020-06-11 17:20:02,1517,130
2020-03-18,2020-06-11 17:20:02,170,8
2020-04-14,2020-06-11 17:20:02,515,383
2020-05-22,2020-06-11 17:20:02,1736,204
2020-05-15,2020-06-11 17:20:02,1708,264
2020-04-06,2020-06-11 17:20:02,863,550
2020-05-16,2020-06-11 17:20:02,1355,165
2020-06-09,2020-06-11 17:20:02,1953,135
2020-03-13,2020-06-11 17:20:02,47,NA
2020-05-13,2020-06-11 17:20:02,1483,245
2020-03-29,2020-06-11 17:20:02,486,215
2020-05-29,2020-06-11 17:20:02,1956,200
2020-05-20,2020-06-11 17:20:02,1697,193
2020-03-26,2020-06-11 17:20:02,569,194
2020-03-08,2020-06-11 17:20:02,11,NA
2020-04-23,2020-06-11 17:20:02,1229,573
2020-05-23,2020-06-11 17:20:02,1535,193
2020-04-15,2020-06-11 17:20:02,872,608
2020-04-21,2020-06-11 17:20:02,920,508
2020-04-28,2020-06-11 17:20:02,1144,473
2020-04-03,2020-06-11 17:20:02,901,511
2020-05-24,2020-06-11 17:20:02,1409,177
2020-04-17,2020-06-11 17:20:02,1023,600
2020-06-06,2020-06-11 17:20:02,1153,88
2020-04-09,2020-06-11 17:20:02,851,583
2020-03-15,2020-06-11 17:20:02,30,NA
2020-04-18,2020-06-11 17:20:02,582,275
2020-06-03,2020-06-11 17:20:02,1624,146
2020-05-08,2020-06-11 17:20:02,1284,356
2020-06-10,2020-06-11 17:20:02,1152,56
2020-03-20,2020-06-11 17:20:02,173,32
2020-03-21,2020-06-11 17:20:02,337,53
2020-05-01,2020-06-11 17:20:02,1104,416
2020-05-07,2020-06-11 17:20:02,1399,313
2020-05-02,2020-06-11 17:20:02,897,308
2020-03-24,2020-06-11 17:20:02,477,115
2020-04-10,2020-06-11 17:20:02,921,579
2020-06-11,2020-06-11 17:20:02,161,10
2020-05-11,2020-06-11 17:20:02,881,249
2020-05-30,2020-06-11 17:20:02,1525,126
2020-05-31,2020-06-11 17:20:02,1420,113
2020-05-06,2020-06-11 17:20:02,1544,355
2020-03-19,2020-06-11 17:20:02,268,32
2020-05-28,2020-06-11 17:20:02,2015,208
2020-04-26,2020-06-11 17:20:02,620,205
2020-03-27,2020-06-11 17:20:02,769,222
2020-06-07,2020-06-11 17:20:02,1104,89
2020-05-05,2020-06-11 17:20:02,1252,364
2020-03-11,2020-06-11 17:20:02,13,NA
