result_date,etl_timestamp,positive,negative
2020-05-18,2020-06-09 17:20:01,183,888
2020-05-26,2020-06-09 17:20:01,215,1772
2020-04-11,2020-06-09 17:20:01,417,674
2020-05-04,2020-06-09 17:20:01,375,813
2020-05-10,2020-06-09 17:20:01,123,772
2020-03-31,2020-06-09 17:20:01,363,738
2020-03-12,2020-06-09 17:20:01,NA,20
2020-06-08,2020-06-09 17:20:01,62,825
2020-03-22,2020-06-09 17:20:01,49,158
2020-04-25,2020-06-09 17:20:01,331,857
2020-05-21,2020-06-09 17:20:01,316,2128
2020-04-12,2020-06-09 17:20:01,417,704
2020-04-30,2020-06-09 17:20:01,436,1426
2020-05-03,2020-06-09 17:20:01,167,621
2020-04-07,2020-06-09 17:20:01,513,782
2020-05-14,2020-06-09 17:20:01,262,1771
2020-04-27,2020-06-09 17:20:01,430,839
2020-03-23,2020-06-09 17:20:01,74,307
2020-03-17,2020-06-09 17:20:01,16,160
2020-03-28,2020-06-09 17:20:01,145,470
2020-05-09,2020-06-09 17:20:01,225,1176
2020-06-01,2020-06-09 17:20:01,103,1235
2020-04-04,2020-06-09 17:20:01,553,815
2020-05-16,2020-06-09 17:20:01,166,1355
2020-06-09,2020-06-09 17:20:01,NA,97
2020-03-13,2020-06-09 17:20:01,NA,47
2020-06-05,2020-06-09 17:20:01,115,1443
2020-05-13,2020-06-09 17:20:01,245,1483
2020-03-29,2020-06-09 17:20:01,215,486
2020-05-29,2020-06-09 17:20:01,200,1956
2020-05-20,2020-06-09 17:20:01,194,1697
2020-03-26,2020-06-09 17:20:01,194,569
2020-03-08,2020-06-09 17:20:01,NA,11
2020-04-23,2020-06-09 17:20:01,573,1229
2020-05-23,2020-06-09 17:20:01,193,1535
2020-04-15,2020-06-09 17:20:01,608,872
2020-04-21,2020-06-09 17:20:01,507,920
2020-04-28,2020-06-09 17:20:01,473,1144
2020-04-03,2020-06-09 17:20:01,511,901
2020-05-24,2020-06-09 17:20:01,177,1409
2020-04-17,2020-06-09 17:20:01,600,1024
2020-06-06,2020-06-09 17:20:01,86,1151
2020-04-09,2020-06-09 17:20:01,582,851
2020-03-15,2020-06-09 17:20:01,NA,30
2020-04-18,2020-06-09 17:20:01,275,582
2020-06-03,2020-06-09 17:20:01,143,1623
2020-05-08,2020-06-09 17:20:01,356,1284
2020-03-18,2020-06-09 17:20:01,8,170
2020-03-20,2020-06-09 17:20:01,33,173
2020-04-05,2020-06-09 17:20:01,405,653
2020-03-21,2020-06-09 17:20:01,53,337
2020-05-01,2020-06-09 17:20:01,415,1104
2020-05-07,2020-06-09 17:20:01,312,1399
2020-05-02,2020-06-09 17:20:01,308,897
2020-03-24,2020-06-09 17:20:01,115,477
2020-04-10,2020-06-09 17:20:01,578,921
2020-04-19,2020-06-09 17:20:01,262,457
2020-05-11,2020-06-09 17:20:01,248,881
2020-04-20,2020-06-09 17:20:01,494,664
2020-05-25,2020-06-09 17:20:01,125,1300
2020-04-02,2020-06-09 17:20:01,364,703
2020-05-30,2020-06-09 17:20:01,126,1525
2020-04-22,2020-06-09 17:20:01,531,1022
2020-04-14,2020-06-09 17:20:01,384,515
2020-05-31,2020-06-09 17:20:01,113,1420
2020-05-06,2020-06-09 17:20:01,355,1544
2020-03-19,2020-06-09 17:20:01,32,268
2020-05-17,2020-06-09 17:20:01,142,1167
2020-05-28,2020-06-09 17:20:01,208,2015
2020-06-04,2020-06-09 17:20:01,92,1332
2020-03-30,2020-06-09 17:20:01,241,455
2020-04-26,2020-06-09 17:20:01,204,620
2020-05-15,2020-06-09 17:20:01,264,1708
2020-03-16,2020-06-09 17:20:01,7,84
2020-03-27,2020-06-09 17:20:01,222,769
2020-04-08,2020-06-09 17:20:01,577,911
2020-04-24,2020-06-09 17:20:01,490,1147
2020-04-29,2020-06-09 17:20:01,522,1626
2020-04-13,2020-06-09 17:20:01,254,354
2020-05-19,2020-06-09 17:20:01,259,1492
2020-05-27,2020-06-09 17:20:01,193,1938
2020-04-01,2020-06-09 17:20:01,421,746
2020-03-25,2020-06-09 17:20:01,172,659
2020-05-12,2020-06-09 17:20:01,249,1352
2020-03-14,2020-06-09 17:20:01,6,49
2020-04-16,2020-06-09 17:20:01,524,772
2020-06-02,2020-06-09 17:20:01,123,1517
2020-05-22,2020-06-09 17:20:01,204,1736
2020-04-06,2020-06-09 17:20:01,550,863
2020-06-07,2020-06-09 17:20:01,74,1073
2020-05-05,2020-06-09 17:20:01,364,1252
2020-03-11,2020-06-09 17:20:01,NA,13
