zip_code,covid_outcome,count,etl_timestamp
19138,DIED,30,2020-07-11 17:20:02
19125,DIED,13,2020-07-11 17:20:02
19144,DIED,92,2020-07-11 17:20:02
19152,DIED,64,2020-07-11 17:20:02
19153,DIED,8,2020-07-11 17:20:02
19133,DIED,20,2020-07-11 17:20:02
19126,DIED,91,2020-07-11 17:20:02
19119,DIED,69,2020-07-11 17:20:02
19120,DIED,28,2020-07-11 17:20:02
19128,DIED,17,2020-07-11 17:20:02
19104,DIED,69,2020-07-11 17:20:02
19149,DIED,30,2020-07-11 17:20:02
19143,DIED,49,2020-07-11 17:20:02
19146,DIED,29,2020-07-11 17:20:02
19135,DIED,13,2020-07-11 17:20:02
19151,DIED,26,2020-07-11 17:20:02
19154,DIED,25,2020-07-11 17:20:02
19132,DIED,33,2020-07-11 17:20:02
19111,DIED,66,2020-07-11 17:20:02
19114,DIED,29,2020-07-11 17:20:02
19147,DIED,12,2020-07-11 17:20:02
19139,DIED,61,2020-07-11 17:20:02
19124,DIED,32,2020-07-11 17:20:02
19142,DIED,26,2020-07-11 17:20:02
19118,DIED,22,2020-07-11 17:20:02
19122,DIED,17,2020-07-11 17:20:02
19123,DIED,30,2020-07-11 17:20:02
19130,DIED,15,2020-07-11 17:20:02
19116,DIED,67,2020-07-11 17:20:02
19140,DIED,55,2020-07-11 17:20:02
19134,DIED,27,2020-07-11 17:20:02
19145,DIED,24,2020-07-11 17:20:02
19121,DIED,24,2020-07-11 17:20:02
19107,DIED,9,2020-07-11 17:20:02
19150,DIED,23,2020-07-11 17:20:02
19131,DIED,92,2020-07-11 17:20:02
19148,DIED,48,2020-07-11 17:20:02
19115,DIED,105,2020-07-11 17:20:02
19136,DIED,64,2020-07-11 17:20:02
19103,DIED,24,2020-07-11 17:20:02
19141,DIED,38,2020-07-11 17:20:02
