zip_code,covid_outcome,count,etl_timestamp
19138,DIED,26,2020-06-11 17:20:02
19125,DIED,11,2020-06-11 17:20:02
19144,DIED,72,2020-06-11 17:20:02
19152,DIED,59,2020-06-11 17:20:02
19153,DIED,8,2020-06-11 17:20:02
19133,DIED,15,2020-06-11 17:20:02
19126,DIED,80,2020-06-11 17:20:02
19119,DIED,61,2020-06-11 17:20:02
19120,DIED,24,2020-06-11 17:20:02
19128,DIED,14,2020-06-11 17:20:02
19104,DIED,59,2020-06-11 17:20:02
19149,DIED,26,2020-06-11 17:20:02
19143,DIED,46,2020-06-11 17:20:02
19146,DIED,28,2020-06-11 17:20:02
19135,DIED,11,2020-06-11 17:20:02
19151,DIED,24,2020-06-11 17:20:02
19154,DIED,25,2020-06-11 17:20:02
19132,DIED,32,2020-06-11 17:20:02
19111,DIED,56,2020-06-11 17:20:02
19114,DIED,27,2020-06-11 17:20:02
19147,DIED,11,2020-06-11 17:20:02
19139,DIED,56,2020-06-11 17:20:02
19124,DIED,27,2020-06-11 17:20:02
19142,DIED,19,2020-06-11 17:20:02
19118,DIED,21,2020-06-11 17:20:02
19122,DIED,14,2020-06-11 17:20:02
19123,DIED,27,2020-06-11 17:20:02
19130,DIED,14,2020-06-11 17:20:02
19116,DIED,60,2020-06-11 17:20:02
19140,DIED,43,2020-06-11 17:20:02
19134,DIED,19,2020-06-11 17:20:02
19145,DIED,22,2020-06-11 17:20:02
19121,DIED,19,2020-06-11 17:20:02
19107,DIED,8,2020-06-11 17:20:02
19150,DIED,18,2020-06-11 17:20:02
19131,DIED,78,2020-06-11 17:20:02
19148,DIED,48,2020-06-11 17:20:02
19115,DIED,92,2020-06-11 17:20:02
19136,DIED,62,2020-06-11 17:20:02
19103,DIED,24,2020-06-11 17:20:02
19141,DIED,36,2020-06-11 17:20:02
